t,p2_quantum,entropy,participation
0.0,0.0,-0.0,1.0
0.01,0.0012458404453987747,0.010438327092411149,1.0024943978640128
0.03,0.010919263077410406,0.0676337219865743,1.0220476837273211
0.05960230913523101,0.03955291518347713,0.19289363615141644,1.0818659215087796
0.09189448067766887,0.08088013907154844,0.333877283379626,1.173377108233487
0.12334724477724143,0.12020968340496384,0.4454406906136653,1.266188845992229
0.15502203665960573,0.15158168930436303,0.5237708897533936,1.3442161230057346
0.1856511098328381,0.172098391697454,0.5709393004831907,1.397147429204635
0.21807732469323585,0.18484512571783046,0.5988367291666634,1.4307919971943452
0.25598678003107506,0.1920066368883452,0.6140756484529929,1.4499592498648743
0.2990914644771567,0.19497643921891225,0.6203098523858993,1.4579719311825299
0.3422821771094944,0.19581152818122124,0.6220552927624096,1.4602355468618988
0.3873627883572121,0.19600865987944596,0.6224672386362626,1.460771745864193
0.4396415444612813,0.1960454210586183,0.6225441543204447,1.4608721075774618
0.4746365408239581,0.19604880416389409,0.6225512459750716,1.4608813839872563
0.48385556575763805,0.19604909159073325,0.6225518491887548,1.4608821741955176
0.4928735530870435,0.19604927210108397,0.6225522281788933,1.460882670937497
0.5031801802133232,0.19604940029055312,0.622552497441735,1.4608830240625885
0.5148154944176684,0.19604948367271666,0.6225526726796621,1.4608832540319754
0.5293462716216317,0.19604953704082748,0.6225527849115631,1.460883401435788
0.5430447233800599,0.19604956076896166,0.622552834845807,1.460883467079437
0.5534572521742956,0.19604957004069254,0.6225528543745431,1.4608834927734307
0.5636989405386419,0.19604957517791885,0.6225528651997635,1.460883507026298
0.5768944881395112,0.19604957861689554,0.6225528724509026,1.4608835165810845
0.5939407762438871,0.19604958055437496,0.622552876418301,1.460883521811976
0.6016560196947884,0.19604958092473698,0.6225528772512784,1.4608835229128605
0.6086733106966984,0.19604958114516857,0.6225528777364714,1.4608835235542674
0.6160644628740495,0.19604958129250696,0.6225528780658012,1.460883523989969
0.6237047944226936,0.1960495813873415,0.6225528782798312,1.460883524273339
0.6316844412485373,0.19604958144763973,0.6225528784170486,1.460883524455148
0.6400928387083732,0.1960495814854381,0.6225528785031672,1.4608835245693308
0.649079817291681,0.1960495815088518,0.6225528785559181,1.4608835246393128
0.6589021860987658,0.19604958152312066,0.6225528785872613,1.4608835246809155
0.6700680653706522,0.19604958153148022,0.6225528786051654,1.4608835247046876
0.6837792165621694,0.1960495815360602,0.6225528786147864,1.4608835247174914
0.6987276999929127,0.1960495815431734,0.6225528786189166,1.4608835247227698
0.7079909031901618,0.1960495815395441,0.6225528786197877,1.4608835247241219
0.7169575420374414,0.19604958153891597,0.6225528786202714,1.4608835247248102
0.7273302889977353,0.19604958153872465,0.6225528786205543,1.4608835247252094
0.7391379171566927,0.196049581538766,0.6225528786206999,1.4608835247254122
0.7544489656397386,0.1960495815395408,0.6225528786207676,1.460883524725502
